"연번","도로명주소","지번주소","x 좌표","y 좌표","건물명","구 명칭","전화번호","유형","개방시간","소재지 용도","화장실 현황","장애인화장실 현황","편의시설 (기타설비)","안내표지","소재지","비고"
"217861","서울특별시 영등포구 국제금융로 106","서울특별시 영등포구 여의도동 53-1","126.93329146","37.51896941","행진빌딩","영등포구","02-780-6780","민간개방|","정시(07:00~22:00)|"," ","남자|여자|"," "," ","비상벨(여)|출입구CCTV|","근생시설|","행진빌딩"
"217862","서울특별시 영등포구 국회대로 800","서울특별시 영등포구 여의도동 13","126.92108350","37.53092936","여의도파라곤","영등포구","02-785-8196","민간개방|","정시(07:00~22:00)|"," ","남자|여자|"," ","기저귀교환대(남)|기저귀교환대(여)|","비상벨(여)|출입구CCTV|","근생시설|","여의도파라곤"
"217863","서울특별시 영등포구 여의대방로65길 17","서울특별시 영등포구 여의도동 45-19","126.92921701","37.51974333","서린빌딩","영등포구","02-784-4821","민간개방|","상시(24시간)|"," ","남자|여자|"," "," ","비상벨(여)|출입구CCTV|","근생시설|","서린빌딩"
"217864"," ","서울특별시 종로구 창신동  640-317","127.00980379","37.57501801","창2(창신1지역) 공중화장실","종로구","02-2148-2383","공공개방|","상시(24시간)|"," ","남자|여자|"," "," "," 비상벨(남)|비상벨(여)|","공중화장실|","종로구청 청소행정과 - 02-2148-2383"
"217865","서울특별시 종로구 창덕궁5길 4","서울특별시 종로구 원서동  41","126.98931906","37.58304403","북촌단청공방","종로구","02-2148-2383","민간개방|","기타|10:00~18:00|","화요일|일요일|","공용|"," "," "," ","근생시설|","북촌단청공방"
"217866","서울특별시 종로구 계동6길 12","서울특별시 종로구 계동 2-31","126.98733752","37.58280640","목공예공방 개방화장실","종로구","02-2148-2383","민간개방|","기타|평일 10:00~17:00|, 일,월 휴관|","월요일|일요일|","남자|여자|","남자|여자|"," "," ","근생시설|","목공예공방"
"217867"," ","서울특별시 종로구 옥인동  179-4","126.96299406","37.58255494","수성동계곡공중화장실","종로구","02-2148-2835","공공개방|","상시(24시간)|"," ","남자|여자|"," "," ","비상벨(여)|출입구CCTV|","공원 및 하천변|","종로구청 도시녹지과 - 02-2148-2832"
"217868","서울특별시 종로구 종로 38","서울특별시 종로구 서린동 63","126.98148064","37.56982315","서울글로벌센터 개방화장실","종로구","02-2075-4180","공공개방|","정시(09:00~18:00)|"," ","남자|여자|"," "," ","비상벨(여)|출입구CCTV|","공공시설|","서울시설공단 상가운영처 - 02-739-6808"
"217869","서울특별시 종로구 종로 297","서울특별시 종로구 창신동 560","127.01069739","37.57193776","동대문역(1호선)","종로구","02-6110-1281","공공개방|","정시(영업시작~종료)|"," ","남자|여자|"," "," ","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|출입구CCTV|","지하철|","서울교통공사 - 02-6110-1281"
"217870","서울특별시 중구 남산공원길 507","서울특별시 중구 예장동 산 5-6","126.99282399","37.55433669","1호터널","중구","02-2267-8855","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|"," ","비상벨(여)|","공공시설|","중부공원녹지사업소"
"217871","서울특별시 중구 장충단로 230","서울특별시 중구 을지로7가 134-2","127.00753670","37.56507164","DDP역(4)(지하1층) 화장실","중구","02-6110-4221","공공개방|","정시(영업시작~종료)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","지하철|","서울교통공사"
"217872","서울특별시 중구 장충단로 230","서울특별시 중구 을지로7가 134-2","127.00753670","37.56507164","DDP역(4)(지하2층)","중구","02-6110-4221","공공개방|","정시(영업시작~종료)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|","비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","지하철|","서울교통공사"
"217873","서울특별시 중구 동호로14길 18","서울특별시 중구 신당동 425-11","127.01083771","37.55638544","가온도서관","중구","02-2280-8470","공공개방|","정시(09:00~18:00)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|","비상벨(여)|","공공시설|","중구문화재단"
"217874","서울특별시 중구 마른내로 166","서울특별시 중구 광희동1가 202-1","127.00629098","37.56436339","광희동 공중화장실","중구","02-2280-8393","공공개방|","상시(24시간)|"," ","남자|여자|","남자|여자|","기저귀교환대(여)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","중구시설관리공단"
"217875","서울특별시 중구 퇴계로 303-9","서울특별시 중구 광희동1가 252","127.00503707","37.56446025","광희동주민센터","중구","02-3396-6655","공공개방|","정시(09:00~18:00)|"," ","남자|여자|","남자|여자|"," ","비상벨(여)|","공공시설|","광희동주민센터"
"217876","서울특별시 중구 퇴계로 375-1","서울특별시 중구 신당동 250-10","127.01337641","37.56526849","광희지구대","중구","02-2233-1444","공공개방|","정시(09:00~18:00)|"," ","남자|여자|","남자|여자|"," "," ","공공시설|","광희지구대"
"217877","서울특별시 중구 을지로 245","서울특별시 중구 을지로6가 18-79","127.00548465","37.56772649","국립중앙의료원","중구","02-2260-7114","공공개방|","정시(09:00~18:00)|"," ","남자|여자|","남자|여자|","기저귀교환대(남)|기저귀교환대(여)|","비상벨(남)|비상벨(여)|비상벨(장애인_남)|비상벨(장애인_여)|","공공시설|","국립중앙의료원"
